pop1,pop2,mean_pairwise_IBD_length,lat,long
Chechen,Palestinian,1.331,32.13,35.04
Moroccan,Nogai,0.809,44.82,43.22
Turk-Central,Nogai,1.339,44.82,43.22
Assyrian-MiddleEast,Hazara,0.899,33.5,70
Turk-Northeast,Russian-Arctic,1.539,63.43,45.1
Romanian,Kyrgyz-North,1.347,43.12,81.15
French-Northwest,Bashkir,2.735,54.32,56.12
Bengali,Spanish-Valencia,0.605,39.02,-0.37
Bulgarian,Jew-Bulgarian,2.507,42.68,23.32
Karachay,Jew-Italian,1.432,41.9,12.48
Lebanese-Christian,Russia-AJ,1.687,55.75,37.62
Lebanese-Christian,Kurd,1.082,43.8,40.4
Saudi,Jew-Bulgarian,2.235,42.68,23.32
Lebanese-Muslim,Jew-Italian,1.546,41.9,12.48
French-North,French-Northwest,4.796,48.25,-3.24
Albanian,Baloch,1.569,30.5,66.5
Kurd,Yemenite-Highlands,1.014,14.34,44.68
Russian-Northwest,Croat,9.722,43.63,16.84
Spanish-North,Roman-Iberia,4.152,40.67,-3.14
Orcadian,Slovakian,5.69,48.67,19.7
Kumyk,Balkar,4.332,43.5,43.61
Spanish-Valencia,Iranian-Central,1.062,31.43,51.07
Portuguese,Germany-AJ,2.623,52.52,13.4
French-Northeast,Tajik,1.992,38.41,69.6
Ingush,Turk-Central,1.575,38.73,35.48
Latvian,German,11.619,51.48,10.37
Hazara,Iranian-North,1.029,36.29,52.43
Avar,Tatar-Volga,2.157,54.19,52.71
Gagauz,Veps,6.195,61.3,35.01
Moldavian,Spanish-Balearic,2.828,39.33,2.37
Jordanian,Kazakh-East,0.562,44,87.46
Turk-South,Hungary-AJ,1.764,47.5,19.08
Punjabi,Spanish-Valencia,0.581,39.02,-0.37
Ingush,Russian-Central,2.412,57.19,38.52
Chechen,Mordvin,2.162,54.49,44.21
Karakalpak,Yemenite-Northwest,0.479,15.74,44.45
Uyghur-North,Azeri,1.217,40.97,47.86
Turk-Northeast,Karelian,1.265,60.85,32.14
Turk-Central,Kyrgyz-North,1.05,43.12,81.15
Moroccan,Kyrgyz-North,0.399,43.12,81.15
Assyrian-MiddleEast,Kumyk,1.396,43.18,46.76
Romanian,Yemenite-Northwest,0.827,15.74,44.45
Bengali,Moldavian,0.861,46.51,29.66
Bulgarian,Hungary-AJ,3.112,47.5,19.08
Lebanese-Christian,Avar,1.265,41.93,47.33
Lebanese-Christian,Bashkir,0.791,54.32,56.12
Saudi,Hungary-AJ,1.945,47.5,19.08
French-Northwest,Spanish-Catalonia,4.663,41.68,1.66
Karachay,Italian-Northwest,1.599,45.05,7.52
Lebanese-Muslim,Italian-Northwest,1.555,45.05,7.52
French-North,Czech,4.408,50.1,14.4
Albanian,Swede,3.428,59.31,18
Russian-Northwest,Sicilian-West,2.362,38.02,12.52
Kurd,Spanish-Balearic,1.69,39.33,2.37
Kumyk,Kabardian,4.709,43.45,43.37
Spanish-North,Yemenite-Highlands,0.91,14.34,44.68
Orcadian,Corsican,4.146,42.04,9.01
Portuguese,Tatar-Volga,2.726,54.19,52.71
Spanish-Valencia,Romania-AJ,2.984,44.43,26.1
Ingush,Moroccan,1.304,33.53,-7.58
Latvian,Somali,0.126,5.6,48.3
French-Northeast,Palestinian,1.177,32.13,35.04
Hazara,BedouinB,0.544,31,35
Avar,Yemenite-Desert,0.723,16.48,50.03
Gagauz,Norwegian,4.064,60.32,5.81
Jordanian,Kazakh-West,0.425,51.8,67.16
Turk-South,Georgian,1.314,41.96,42.06
Moldavian,Druze,1.472,32.05,35.02
Karakalpak,Jew-Bulgarian,0.928,42.68,23.32
Punjabi,Moldavian,0.595,46.51,29.66
Chechen,Ukraine-AJ,2.026,50.43,30.52
Uyghur-North,Armenian,0.854,40.2,44.39
Turk-Central,Yemenite-Northwest,0.893,15.74,44.45
Turk-Northeast,Gujarati,0.841,23.2,72.7
Moroccan,Yemenite-Northwest,1.737,15.74,44.45
Romanian,Jew-Bulgarian,2.376,42.68,23.32
Assyrian-MiddleEast,Orcadian,1.03,59,-3
Bengali,Jew-Azeri,0.756,40.88,48.02
Bulgarian,Georgian,1.715,41.96,42.06
Lebanese-Christian,Spanish-Catalonia,1.451,41.68,1.66
Lebanese-Christian,Turk-South,1.63,37,35.32
Saudi,Georgian,1.152,41.96,42.06
Karachay,Ukranian-Central,2.275,50.47,30.3
French-Northwest,Poland-AJ,2.777,52.25,21
Lebanese-Muslim,Ukranian-Central,1.211,50.47,30.3
Albanian,Brahui,1.247,30.5,66.5
French-North,Assyrian-MiddleEast,1.031,37.27,44.21
Russian-Northwest,Udmurt,5.813,56.43,52.66
Kurd,Druze,1.365,32.05,35.02
Kumyk,Belarusian,2.928,53.64,27.47
Orcadian,Greek-South,2.351,37.9,23.7
Spanish-North,Spanish-Balearic,5.913,39.33,2.37
Portuguese,Yemenite-Desert,0.773,16.48,50.03
Latvian,Czechia-AJ,4.355,50.08,14.47
Ingush,Romanian,2.556,45.78,22.95
Spanish-Valencia,BedouinA,1.061,31,35
French-Northeast,Mordvin,4.182,54.49,44.21
Avar,Lithuania-AJ,1.677,54.68,25.32
Hazara,Jew-Uzbek,1.225,41.31,69.29
Gagauz,Abkhasian,1.873,43.04,40.93
Jordanian,Lithuanian,1.395,55,23.93
Turk-South,Germany-AJ,2.262,52.52,13.4
Karakalpak,Hungary-AJ,1.176,47.5,19.08
Punjabi,Jew-Azeri,0.322,40.88,48.02
Moldavian,Adygei,2.589,44.39,39.31
Chechen,Russia-AJ,2.114,55.75,37.62
Chechen,Kurd,1.432,43.8,40.4
Turk-Northeast,Pashtun,1.147,33.49,70.5
Uyghur-North,Pole,1.659,51.98,19.4
Turk-Central,Jew-Bulgarian,1.718,42.68,23.32
Moroccan,Jew-Bulgarian,2.242,42.68,23.32
Romanian,Hungary-AJ,3.089,47.5,19.08
Bengali,Karachay,0.717,43.94,42.52
Bulgarian,Germany-AJ,2.981,52.52,13.4
Assyrian-MiddleEast,Uyghur-North,0.798,43.95,80.86
Lebanese-Christian,Karakalpak,0.653,42.48,59.61
Lebanese-Christian,Poland-AJ,1.771,52.25,21
Saudi,Germany-AJ,1.938,52.52,13.4
French-North,Lebanese-Muslim,1.222,33.89,35.5
Karachay,Tabasaran,1.796,42.05,47.81
Russian-Northwest,Belarus-AJ,4.176,53.9,27.57
Albanian,Uzbek-East,1.426,41.18,69.22
Lebanese-Muslim,Tabasaran,0.887,42.05,47.81
Kumyk,Basque-France,1.967,43,0
French-Northwest,Russian-Central,4.768,57.19,38.52
Kurd,Adygei,1.248,44.39,39.31
Spanish-North,Druze,1.474,32.05,35.02
Portuguese,Lithuania-AJ,2.479,54.68,25.32
Orcadian,Estonian,7.097,58.45,25.31
Latvian,Lezgin,2.796,42.05,48.1
Ingush,Saudi,1.79,19.75,43.35
French-Northeast,Ukraine-AJ,2.689,50.43,30.52
Spanish-Valencia,Nogai,1.616,44.82,43.22
Avar,Roman-Iberia,1.645,40.67,-3.14
Hazara,Greek-North,1.115,40.64,22.94
Karakalpak,Georgian,0.873,41.96,42.06
Jordanian,Balkar,1.128,43.5,43.61
Turk-South,Tatar-Volga,2.228,54.19,52.71
Gagauz,Icelandic,4.258,64.13,-21.93
Punjabi,Karachay,0.602,43.94,42.52
Moldavian,Tajik,1.992,38.41,69.6
Chechen,Avar,9.589,41.93,47.33
Chechen,Bashkir,1.985,54.32,56.12
Turk-Northeast,Chuvash,1.114,55.33,48.74
Uyghur-North,Sardinian,0.709,40,9
Moroccan,Hungary-AJ,2.467,47.5,19.08
Turk-Central,Hungary-AJ,1.656,47.5,19.08
Romanian,Georgian,1.364,41.96,42.06
Bengali,Jordanian,0.516,32.03,35.91
Bulgarian,Tatar-Volga,4.947,54.19,52.71
Lebanese-Christian,Russian-Central,1.085,57.19,38.52
Assyrian-MiddleEast,Spanish-Valencia,1.284,39.02,-0.37
Lebanese-Christian,Turk-Central,0.917,38.73,35.48
Saudi,Tatar-Volga,1.606,54.19,52.71
Russian-Northwest,Sindhi,1.31,25.49,69
French-North,Hazara,1.08,33.5,70
Albanian,Tatar-Siberia,1.685,57.75,67.71
Karachay,Veps,3.424,61.3,35.01
Kumyk,Croat,2.734,43.63,16.84
Lebanese-Muslim,Veps,1.275,61.3,35.01
Kurd,Tajik,1.372,38.41,69.6
Spanish-North,Adygei,2.075,44.39,39.31
Orcadian,Russian-Arctic,5.786,63.43,45.1
Portuguese,Roman-Iberia,2.296,40.67,-3.14
Latvian,Kazakh-East,2.399,44,87.46
Ingush,Portuguese,1.861,39.4,-8.22
French-Northeast,Russia-AJ,2.435,55.75,37.62
Avar,Yemenite-Highlands,0.688,14.34,44.68
Spanish-Valencia,Kyrgyz-North,0.828,43.12,81.15
Karakalpak,Germany-AJ,1.217,52.52,13.4
Hazara,German,1.332,51.48,10.37
Jordanian,Kabardian,1.127,43.45,43.37
Turk-South,Yemenite-Desert,1.423,16.48,50.03
Punjabi,Jordanian,0.418,32.03,35.91
Moldavian,Palestinian,1.497,32.13,35.04
Gagauz,Italian-North,3.131,46,10
Chechen,Turk-South,1.927,37,35.32
Turk-Northeast,Ossetian,1.998,43.07,44.23
Chechen,Spanish-Catalonia,1.999,41.68,1.66
Uyghur-North,Baloch,0.925,30.5,66.5
Turk-Central,Georgian,1.662,41.96,42.06
Moroccan,Georgian,0.588,41.96,42.06
Romanian,Germany-AJ,2.345,52.52,13.4
Bulgarian,Yemenite-Desert,0.977,16.48,50.03
Bengali,Finn,0.751,60.39,24.49
Assyrian-MiddleEast,Moldavian,1.456,46.51,29.66
Lebanese-Christian,Moroccan,1.317,33.53,-7.58
Russian-Northwest,Italian-South,3.11,41.89,14.49
Saudi,Yemenite-Desert,6.134,16.48,50.03
French-North,Kumyk,2.338,43.18,46.76
Albanian,Spanish-Central,2.332,40.36,-3.74
Karachay,Norwegian,2.289,60.32,5.81
Kumyk,Sicilian-West,1.484,38.02,12.52
Lebanese-Muslim,Norwegian,0.917,60.32,5.81
Kurd,Palestinian,1.132,32.13,35.04
Portuguese,Yemenite-Highlands,0.687,14.34,44.68
Latvian,Kazakh-West,2.595,51.8,67.16
Spanish-North,Tajik,1.839,38.41,69.6
Orcadian,Karelian,6.193,60.85,32.14
Ingush,Spanish-North,2.095,43.05,-3.35
Czech,Assyrian-MiddleEast,1.624,37.27,44.21
French-Northeast,Bashkir,2.721,54.32,56.12
Avar,Spanish-Balearic,1.925,39.33,2.37
Spanish-Valencia,Yemenite-Northwest,0.936,15.74,44.45
Hazara,Somali,0.126,5.6,48.3
Jordanian,Belarusian,1.399,53.64,27.47
Punjabi,Finn,0.942,60.39,24.49
Turk-South,Lithuania-AJ,2.352,54.68,25.32
Karakalpak,Tatar-Volga,2.941,54.19,52.71
Chechen,Karakalpak,1.511,42.48,59.61
Gagauz,Circassian,2.101,44.28,41.55
Turk-Northeast,Turk-Northwest,2.011,40.4,28.56
Chechen,Poland-AJ,2.087,52.25,21
Turk-Central,Germany-AJ,1.528,52.52,13.4
Moldavian,Mordvin,7.216,54.49,44.21
Moroccan,Germany-AJ,2.302,52.52,13.4
Uyghur-North,Swede,1.42,59.31,18
Romanian,Tatar-Volga,5.143,54.19,52.71
Bengali,Jew-Italian,0.694,41.9,12.48
Bulgarian,Lithuania-AJ,2.697,54.68,25.32
Assyrian-MiddleEast,Jew-Azeri,1.292,40.88,48.02
Lebanese-Christian,Romanian,1.131,45.78,22.95
Russian-Northwest,Tuscan,3.214,43.36,11.12
Bulgarian,Albanian,6.844,41.32,19.82
Saudi,Lithuania-AJ,1.936,54.68,25.32
Albanian,Hungarian,4.719,47.49,19.07
French-North,Orcadian,5.487,59,-3
Kumyk,Udmurt,2.666,56.43,52.66
Portuguese,Spanish-Balearic,3.687,39.33,2.37
Lebanese-Muslim,Abkhasian,1.226,43.04,40.93
Kurd,Mordvin,1.669,54.49,44.21
Latvian,Lithuanian,27.735,55,23.93
Karachay,Abkhasian,10.111,43.04,40.93
Orcadian,Gujarati,1.106,23.2,72.7
Spanish-North,Palestinian,1.484,32.13,35.04
Ingush,French-Northeast,1.439,48.76,6.13
Czech,Lebanese-Muslim,1.677,33.89,35.5
Hazara,Czechia-AJ,1.086,50.08,14.47
Avar,Druze,0.93,32.05,35.02
Karakalpak,Yemenite-Desert,0.541,16.48,50.03
French-Northeast,Spanish-Catalonia,4.076,41.68,1.66
Punjabi,Jew-Italian,0.488,41.9,12.48
Turk-South,Roman-Iberia,1.449,40.67,-3.14
Jordanian,Basque-France,1.272,43,0
Spanish-Valencia,Jew-Bulgarian,2.56,42.68,23.32
Turk-Northeast,Egyptian,1.005,30.69,31.28
Chechen,Turk-Central,2.258,38.73,35.48
Gagauz,Iranian-North,1.495,36.29,52.43
Moroccan,Tatar-Volga,1.163,54.19,52.71
Turk-Central,Tatar-Volga,1.662,54.19,52.71
Chechen,Russian-Central,2.469,57.19,38.52
Moldavian,Ukraine-AJ,3.335,50.43,30.52
Romanian,Yemenite-Desert,0.801,16.48,50.03
Bengali,Italian-Northwest,0.664,45.05,7.52
Uyghur-North,Brahui,1.025,30.5,66.5
Bulgarian,Roman-Iberia,2.914,40.67,-3.14
Assyrian-MiddleEast,Karachay,1.324,43.94,42.52
Lebanese-Christian,Saudi,2.925,19.75,43.35
Russian-Northwest,Slovenian,11.755,46.15,15
Bulgarian,Turk-Northeast,2.019,41,39.73
Kumyk,Belarus-AJ,2.004,53.9,27.57
Saudi,Roman-Iberia,1.14,40.67,-3.14
Albanian,Mozabite,1.519,32,3
French-North,Uyghur-North,1.042,43.95,80.86
Portuguese,Druze,1.205,32.05,35.02
Kurd,Ukraine-AJ,1.565,50.43,30.52
Latvian,Balkar,3.364,43.5,43.61
Orcadian,Pashtun,1.603,33.49,70.5
Lebanese-Muslim,Icelandic,1.435,64.13,-21.93
Ingush,French-Northwest,2.085,48.25,-3.24
Spanish-North,Mordvin,2.954,54.49,44.21
Karachay,Icelandic,2.347,64.13,-21.93
Czech,Hazara,1.503,33.5,70
Karakalpak,Lithuania-AJ,1.238,54.68,25.32
Hazara,Lezgin,0.842,42.05,48.1
Punjabi,Italian-Northwest,0.69,45.05,7.52
Jordanian,Croat,1.23,43.63,16.84
Avar,Adygei,2.292,44.39,39.31
Turk-South,Yemenite-Highlands,1.214,14.34,44.68
French-Northeast,Poland-AJ,2.809,52.25,21
Turk-Northeast,Komi,1.326,61.87,51.43
Spanish-Valencia,Hungary-AJ,2.805,47.5,19.08
Chechen,Moroccan,0.756,33.53,-7.58
Gagauz,BedouinB,0.968,31,35
Moroccan,Yemenite-Desert,1.792,16.48,50.03
Turk-Central,Yemenite-Desert,0.793,16.48,50.03
Romanian,Lithuania-AJ,2.956,54.68,25.32
Moldavian,Russia-AJ,2.871,55.75,37.62
Bulgarian,Yemenite-Highlands,0.863,14.34,44.68
Bengali,Ukranian-Central,1.083,50.47,30.3
Uyghur-North,Uzbek-East,2.745,41.18,69.22
Assyrian-MiddleEast,Jordanian,1.292,32.03,35.91
Lebanese-Christian,Portuguese,0.824,39.4,-8.22
Russian-Northwest,Slovakian,12.4,48.67,19.7
Bulgarian,Russian-Northwest,8.517,57.59,28.73
Kumyk,Sindhi,1.06,25.49,69
Saudi,Yemenite-Highlands,5.567,14.34,44.68
Albanian,Iranian-Central,1.34,31.43,51.07
Latvian,Kabardian,3.667,43.45,43.37
Portuguese,Adygei,1.735,44.39,39.31
French-North,Spanish-Valencia,2.91,39.02,-0.37
Kurd,Russia-AJ,1.628,55.75,37.62
Orcadian,Chuvash,3.623,55.33,48.74
Lebanese-Muslim,Italian-North,1.392,46,10
Ingush,Czech,2.743,50.1,14.4
Karachay,Italian-North,1.778,46,10
Spanish-North,Ukraine-AJ,3.115,50.43,30.52
Karakalpak,Roman-Iberia,1.032,40.67,-3.14
Czech,Kumyk,2.745,43.18,46.76
Hazara,Kazakh-East,4.368,44,87.46
Turk-South,Spanish-Balearic,1.827,39.33,2.37
Avar,Tajik,1.543,38.41,69.6
Jordanian,Sicilian-West,1.412,38.02,12.52
Punjabi,Ukranian-Central,0.817,50.47,30.3
Spanish-Valencia,Georgian,1.167,41.96,42.06
Turk-Northeast,Azeri,1.288,40.97,47.86
Chechen,Romanian,2.215,45.78,22.95
French-Northeast,Russian-Central,4.827,57.19,38.52
Gagauz,Jew-Uzbek,1.372,41.31,69.29
Turk-Central,Lithuania-AJ,1.508,54.68,25.32
Moroccan,Lithuania-AJ,2.351,54.68,25.32
Kurd,Avar,1.405,41.93,47.33
Romanian,Roman-Iberia,2.598,40.67,-3.14
Bulgarian,Spanish-Balearic,3.036,39.33,2.37
Moldavian,Bashkir,3.487,54.32,56.12
Lebanese-Christian,Spanish-North,1.415,43.05,-3.35
Bengali,Tabasaran,1.181,42.05,47.81
Assyrian-MiddleEast,Finn,1.503,60.39,24.49
Uyghur-North,Tatar-Siberia,2.929,57.75,67.71
Russian-Northwest,Corsican,3.078,42.04,9.01
Bulgarian,Latvian,8.613,56.91,24.1
Kumyk,Italian-South,1.971,41.89,14.49
Saudi,Spanish-Balearic,1.525,39.33,2.37
Albanian,Romania-AJ,3.033,44.43,26.1
Portuguese,Tajik,1.539,38.41,69.6
Latvian,Belarusian,20.807,53.64,27.47
Kurd,Bashkir,1.212,54.32,56.12
French-North,Moldavian,2.792,46.51,29.66
Ingush,Assyrian-MiddleEast,1.563,37.27,44.21
Orcadian,Ossetian,1.831,43.07,44.23
Karakalpak,Yemenite-Highlands,0.391,14.34,44.68
Lebanese-Muslim,Circassian,1.238,44.28,41.55
Spanish-North,Russia-AJ,2.542,55.75,37.62
Hazara,Kazakh-West,5.156,51.8,67.16
Avar,Palestinian,1.167,32.13,35.04
Karachay,Circassian,16.662,44.28,41.55
Turk-South,Druze,1.981,32.05,35.02
Czech,Orcadian,5.992,59,-3
Jordanian,Udmurt,0.846,56.43,52.66
Punjabi,Tabasaran,0.823,42.05,47.81
Spanish-Valencia,Germany-AJ,2.735,52.52,13.4
Turk-Northeast,Armenian,1.897,40.2,44.39
Chechen,Saudi,1.277,19.75,43.35
Gagauz,Greek-North,4.895,40.64,22.94
Moroccan,Roman-Iberia,1.025,40.67,-3.14
Turk-Central,Roman-Iberia,1.164,40.67,-3.14
Romanian,Yemenite-Highlands,0.791,14.34,44.68
Kurd,Turk-South,2.891,37,35.32
Bulgarian,Druze,1.443,32.05,35.02
Lebanese-Christian,French-Northeast,0.955,48.76,6.13
Moldavian,Spanish-Catalonia,2.982,41.68,1.66
Bengali,Veps,0.96,61.3,35.01
Assyrian-MiddleEast,Jew-Italian,1.738,41.9,12.48
Russian-Northwest,Greek-South,4.388,37.9,23.7
Kumyk,Tuscan,2.018,43.36,11.12
Uyghur-North,Spanish-Central,0.883,40.36,-3.74
Bulgarian,Gagauz,5.455,45.54,28.38
Saudi,Druze,2.638,32.05,35.02
Latvian,Basque-France,4.066,43,0
Portuguese,Palestinian,1.361,32.13,35.04
Kurd,Spanish-Catalonia,1.474,41.68,1.66
Albanian,BedouinA,1.467,31,35
French-North,Jew-Azeri,1.37,40.88,48.02
Ingush,Lebanese-Muslim,1.247,33.89,35.5
Karakalpak,Spanish-Balearic,1.157,39.33,2.37
Orcadian,Turk-Northwest,2.201,40.4,28.56
Lebanese-Muslim,Iranian-North,0.817,36.29,52.43
Spanish-North,Bashkir,2.358,54.32,56.12
Hazara,Lithuanian,1.63,55,23.93
Turk-South,Adygei,1.787,44.39,39.31
Avar,Mordvin,2.406,54.49,44.21
Jordanian,Belarus-AJ,1.93,53.9,27.57
Czech,Uyghur-North,1.512,43.95,80.86
Karachay,Iranian-North,1.184,36.29,52.43
Punjabi,Veps,1.168,61.3,35.01
Turk-Northeast,Pole,1.626,51.98,19.4
Spanish-Valencia,Tatar-Volga,2.324,54.19,52.71
Chechen,Portuguese,2.152,39.4,-8.22
Gagauz,German,5.367,51.48,10.37
Moroccan,Yemenite-Highlands,1.56,14.34,44.68
Turk-Central,Yemenite-Highlands,0.968,14.34,44.68
Bulgarian,Adygei,2.582,44.39,39.31
Kurd,Karakalpak,0.911,42.48,59.61
Romanian,Spanish-Balearic,3.018,39.33,2.37
French-Northwest,Czech,5.831,50.1,14.4
Lebanese-Christian,French-Northwest,1.391,48.25,-3.24
Bengali,Norwegian,0.911,60.32,5.81
Kumyk,Slovenian,2.234,46.15,15
Uyghur-North,Hungarian,1.145,47.49,19.07
Moldavian,Poland-AJ,2.768,52.25,21
Assyrian-MiddleEast,Italian-Northwest,1.332,45.05,7.52
Bulgarian,Bengali,0.976,23.51,89.9
Saudi,Adygei,1.324,44.39,39.31
Russian-Northwest,Estonian,19.532,58.45,25.31
Kurd,Poland-AJ,1.638,52.25,21
Latvian,Croat,10.881,43.63,16.84
Portuguese,Mordvin,3.227,54.49,44.21
French-North,Karachay,2.111,43.94,42.52
Karakalpak,Druze,0.681,32.05,35.02
Albanian,Nogai,1.954,44.82,43.22
Ingush,Hazara,1.51,33.5,70
Orcadian,Egyptian,0.989,30.69,31.28
Hazara,Balkar,1.329,43.5,43.61
Turk-South,Tajik,1.395,38.41,69.6
Avar,Ukraine-AJ,1.936,50.43,30.52
Jordanian,Sindhi,0.867,25.49,69
Lebanese-Muslim,BedouinB,2.487,31,35
Turk-Northeast,Sardinian,1.494,40,9
Czech,Spanish-Valencia,3.124,39.02,-0.37
Spanish-North,Spanish-Catalonia,6.6,41.68,1.66
Punjabi,Norwegian,0.829,60.32,5.81
Karachay,BedouinB,1.012,31,35
Spanish-Valencia,Yemenite-Desert,0.789,16.48,50.03
Gagauz,Somali,0.258,5.6,48.3
Chechen,Spanish-North,2.105,43.05,-3.35
Moroccan,Spanish-Balearic,2.424,39.33,2.37
Turk-Central,Spanish-Balearic,1.18,39.33,2.37
Bulgarian,Tajik,1.905,38.41,69.6
Romanian,Druze,1.483,32.05,35.02
Kurd,Turk-Central,1.06,38.73,35.48
French-Northwest,Assyrian-MiddleEast,1.023,37.27,44.21
Lebanese-Christian,Czech,1.373,50.1,14.4
Bengali,Abkhasian,0.897,43.04,40.93
Kumyk,Slovakian,2.577,48.67,19.7
Bulgarian,French-North,2.988,50.18,2.37
Uyghur-North,Mozabite,0.308,32,3
Saudi,Tajik,0.882,38.41,69.6
Assyrian-MiddleEast,Ukranian-Central,1.423,50.47,30.3
Latvian,Sicilian-West,3.236,38.02,12.52
Moldavian,Russian-Central,7.575,57.19,38.52
Russian-Northwest,Russian-Arctic,15.465,63.43,45.1
Kurd,Russian-Central,1.531,57.19,38.52
Karakalpak,Adygei,1.5,44.39,39.31
French-North,Jordanian,0.955,32.03,35.91
Portuguese,Ukraine-AJ,2.564,50.43,30.52
Albanian,Kyrgyz-North,1.0,43.12,81.15
Ingush,Kumyk,8.068,43.18,46.76
Orcadian,Komi,4.644,61.87,51.43
Jordanian,Italian-South,1.333,41.89,14.49
Hazara,Kabardian,1.471,43.45,43.37
Turk-South,Palestinian,1.423,32.13,35.04
Lebanese-Muslim,Jew-Uzbek,1.197,41.31,69.29
Spanish-North,Poland-AJ,2.709,52.25,21
Avar,Russia-AJ,1.835,55.75,37.62
Turk-Northeast,Baloch,1.182,30.5,66.5
Czech,Moldavian,6.761,46.51,29.66
Spanish-Valencia,Lithuania-AJ,2.619,54.68,25.32
Gagauz,Czechia-AJ,2.535,50.08,14.47
Karachay,Jew-Uzbek,1.127,41.31,69.29
Punjabi,Abkhasian,0.525,43.04,40.93
Chechen,French-Northeast,1.9,48.76,6.13
Moroccan,Druze,1.583,32.05,35.02
Turk-Central,Druze,1.228,32.05,35.02
Romanian,Adygei,2.232,44.39,39.31
Bulgarian,Palestinian,1.419,32.13,35.04
Kurd,Moroccan,2.601,33.53,-7.58
French-Northwest,Lebanese-Muslim,1.558,33.89,35.5
Lebanese-Christian,Assyrian-MiddleEast,1.501,37.27,44.21
Bengali,Icelandic,1.179,64.13,-21.93
Kumyk,Corsican,1.788,42.04,9.01
Bulgarian,Ingush,2.303,43.52,44.58
Latvian,Udmurt,7.463,56.43,52.66
Uyghur-North,Iranian-Central,0.887,31.43,51.07
Saudi,Palestinian,3.891,32.13,35.04
Assyrian-MiddleEast,Tabasaran,1.53,42.05,47.81
Karakalpak,Tajik,1.364,38.41,69.6
Russian-Northwest,Karelian,17.433,60.85,32.14
French-North,Finn,5.499,60.39,24.49
Portuguese,Russia-AJ,2.241,55.75,37.62
Albanian,Yemenite-Northwest,1.287,15.74,44.45
Ingush,Orcadian,2.038,59,-3
Jordanian,Tuscan,1.498,43.36,11.12
Orcadian,Azeri,1.611,40.97,47.86
Hazara,Belarusian,1.839,53.64,27.47
Lebanese-Muslim,Greek-North,1.521,40.64,22.94
Turk-South,Mordvin,2.379,54.49,44.21
Avar,Bashkir,1.653,54.32,56.12
Turk-Northeast,Swede,1.731,59.31,18
Gagauz,Lezgin,1.786,42.05,48.1
Spanish-North,Russian-Central,3.703,57.19,38.52
Spanish-Valencia,Roman-Iberia,3.506,40.67,-3.14
Karachay,Greek-North,1.812,40.64,22.94
Moroccan,Adygei,1.164,44.39,39.31
Czech,Jew-Azeri,1.716,40.88,48.02
Punjabi,Icelandic,1.385,64.13,-21.93
Chechen,French-Northwest,2.298,48.25,-3.24
Turk-Central,Adygei,1.851,44.39,39.31
Romanian,Tajik,1.687,38.41,69.6
Bulgarian,Mordvin,6.382,54.49,44.21
French-Northwest,Hazara,1.245,33.5,70
Kurd,Romanian,1.801,45.78,22.95
Lebanese-Christian,Lebanese-Muslim,1.7,33.89,35.5
Bengali,Italian-North,0.923,46,10
Kumyk,Greek-South,1.464,37.9,23.7
Bulgarian,Chechen,2.121,43.33,45.65
Latvian,Belarus-AJ,4.47,53.9,27.57
Saudi,Mordvin,1.451,54.49,44.21
Uyghur-North,Romania-AJ,0.881,44.43,26.1
Karakalpak,Palestinian,0.651,32.13,35.04
Assyrian-MiddleEast,Veps,1.497,61.3,35.01
Russian-Northwest,Gujarati,0.977,23.2,72.7
Albanian,Jew-Bulgarian,2.611,42.68,23.32
French-North,Jew-Italian,1.991,41.9,12.48
Portuguese,Bashkir,1.87,54.32,56.12
Avar,Turk-South,1.219,37,35.32
Ingush,Uyghur-North,1.58,43.95,80.86
Jordanian,Slovenian,1.176,46.15,15
Jew-Azeri,Karachay,1.699,43.94,42.52
Lebanese-Muslim,German,1.603,51.48,10.37
Orcadian,Armenian,1.328,40.2,44.39
Hazara,Basque-France,1.357,43,0
Turk-South,Ukraine-AJ,2.192,50.43,30.52
Avar,Spanish-Catalonia,1.948,41.68,1.66
Gagauz,Kazakh-East,1.269,44,87.46
Turk-Northeast,Brahui,0.911,30.5,66.5
Spanish-Valencia,Yemenite-Highlands,0.886,14.34,44.68
Karachay,German,2.784,51.48,10.37
Chechen,Czech,2.76,50.1,14.4
Moroccan,Tajik,0.763,38.41,69.6
Punjabi,Italian-North,0.771,46,10
Czech,Karachay,3.04,43.94,42.52
Turk-Central,Tajik,1.306,38.41,69.6
Romanian,Palestinian,1.282,32.13,35.04
Kurd,Saudi,1.686,19.75,43.35
French-Northwest,Kumyk,2.185,43.18,46.76
Lebanese-Christian,Hazara,0.745,33.5,70
Bulgarian,Ukraine-AJ,3.351,50.43,30.52
Bengali,Circassian,0.722,44.28,41.55
Kumyk,Estonian,2.885,58.45,25.31
Bulgarian,Kurd,1.513,43.8,40.4
Latvian,Sindhi,1.634,25.49,69
Saudi,Ukraine-AJ,2.147,50.43,30.52
Russian-Northwest,Pashtun,1.924,33.49,70.5
Karakalpak,Mordvin,2.595,54.49,44.21
Uyghur-North,BedouinA,0.494,31,35
Assyrian-MiddleEast,Norwegian,1.27,60.32,5.81
Avar,Karakalpak,1.237,42.48,59.61
French-North,Italian-Northwest,3.559,45.05,7.52
Albanian,Hungary-AJ,2.948,47.5,19.08
Ingush,Spanish-Valencia,1.568,39.02,-0.37
